"Category","Total"
"08/22",0
"08/23",0
"08/24",0
"08/25",26
"08/26",0
"08/27",95
"08/28",0
"08/29",12
"08/30",12
"08/31",1
"09/01",25
"09/02",3
"09/03",6
"09/04",494
