"Category","Unique"
"08/22",0
"08/23",0
"08/24",0
"08/25",3
"08/26",0
"08/27",3
"08/28",0
"08/29",12
"08/30",1
"08/31",1
"09/01",2
"09/02",1
"09/03",1
"09/04",3
