"Category","Total"
"08/22",0
"08/23",0
"08/24",0
"08/25",0
"08/26",0
"08/27",9
"08/28",2
"08/29",2
"08/30",2
"08/31",0
"09/01",9
"09/02",1
"09/03",0
"09/04",226
